club,nation,position,season
Real Madrid CF,Spain,1,'1955/1956'
Real Madrid CF,Spain,1,'1956/1957'
Real Madrid CF,Spain,1,'1957/1958'
Real Madrid CF,Spain,1,'1958/1959'
Real Madrid CF,Spain,1,'1959/1960'
SL Benfica,Portugal,1,'1960/1961'
SL Benfica,Portugal,1,'1961/1962'
AC Milan,Italy,1,'1962/1963'
FC Internazionale,Italy,1,'1963/1964'
FC Internazionale,Italy,1,'1964/1965'
Real Madrid CF,Spain,1,'1965/1966'
Celtic FC,Scotland,1,'1966/1967'
Manchester United FC,England,1,'1967/1968'
AC Milan,Italy,1,'1968/1969'
Feyenoord,Netherlands,1,'1969/1970'
AFC Ajax,Netherlands,1,'1970/1971'
AFC Ajax,Netherlands,1,'1971/1972'
AFC Ajax,Netherlands,1,'1972/1973'
FC Bayern Munchen,Germany,1,'1973/1974'
FC Bayern Munchen,Germany,1,'1974/1975'
FC Bayern Munchen,Germany,1,'1975/1976'
Liverpool FC,England,1,'1976/1977'
Liverpool FC,England,1,'1977/1978'
Nottingham Forest FC,England,1,'1978/1979'
Nottingham Forest FC,England,1,'1979/1980'
Liverpool FC,England,1,'1980/1981'
Aston Villa FC,England,1,'1981/1982'
Hamburg SV,Germany,1,'1982/1983'
Liverpool FC,England,1,'1983/1984'
Juventus,Italy,1,'1984/1985'
FCSB,Romania,1,'1985/1986'
FC Porto,Portugal,1,'1986/1987'
PSV Eindhoven,Netherlands,1,'1987/1988'
AC Milan,Italy,1,'1988/1989'
AC Milan,Italy,1,'1989/1990'
FC crvena zvezda,Serbia,1,'1990/1991'
Barcelona FC,Spain,1,'1991/1992'
Olympique de marseille fc,France,1,'1992/1993'
AC Milan,Italy,1,'1993/1994'
AFC Ajax,Netherlands,1,'1994/1995'
Juventus,Italy,1,'1995/1996'
Borussia Dortmund,Germany,1,'1996/1997'
Real Madrid CF,Spain,1,'1997/1998'
Manchester United FC,England,1,'1998/1999'
Real Madrid CF,Spain,1,'1999/2000'
FC Bayern Munchen,Germany,1,'2000/2001'
Real Madrid CF,Spain,1,'2001/2002'
AC Milan,Italy,1,'2002/2003'
FC Porto,Portugal,1,'2003/2004'
Liverpool FC,England,1,'2004/2005'
Barcelona FC,Spain,1,'2005/2006'
AC Milan,Italy,1,'2006/2007'
Manchester United FC,England,1,'2007/2008'
Barcelona FC,Spain,1,'2008/2009'
FC Internazionale,Italy,1,'2009/2010'
Barcelona FC,Spain,1,'2010/2011'
Chelsea FC,England,1,'2011/2012'
FC Bayern Munchen,Germany,1,'2012/2013'
Real Madrid CF,Spain,1,'2013/2014'
Barcelona FC,Spain,1,'2014/2015'
Real Madrid CF,Spain,1,'2015/2016'
Real Madrid CF,Spain,1,'2016/2017'
Real Madrid CF,Spain,1,'2017/2018'
Liverpool FC,England,1,'2018/2019'
